country,years,population,migration_count,migration_count_change,migration_percent,migration_percent_change
Botswana,2015 - 2019,2402107.6,3157.4,359.0,0.1311548158088946,0.013397675998685962
Brazil,2015 - 2019,208500442.6,56167.0,8849.2,0.02685413168016278,0.0040820809077738605
British Virgin Islands,2015 - 2019,30022.0,266.4,-1.4,0.8885935198702356,-0.014184378928828043
Brunei Darussalam,2015 - 2019,430005.8,-567.2,-28.6,-0.13178990949818678,-0.00548817030211258
Bulgaria,2015 - 2019,7076511.6,-13483.4,817.6,-0.19034059385264324,0.010191211833716862
Burkina Faso,2015 - 2019,19834747.4,-18281.2,-1453.6,-0.09155745090827265,-0.004305942708126339
Burundi,2015 - 2019,11230875.6,-66400.2,4219.4,-0.6218294828971791,0.03705054679682557
Cabo Verde,2015 - 2019,564749.2,-1371.0,47.6,-0.2429962309512265,0.01126298100713034
Cambodia,2015 - 2019,15821156.0,-49172.2,-1333.0,-0.31063203637998776,-0.004266234843371961
Cameroon,2015 - 2019,24395309.0,-818.2,-21772.2,-0.0002291526450478018,-0.0961503928466921
Canada,2015 - 2019,36604789.0,344878.8,39253.0,0.9395937326629067,0.09803868313137795
Cayman Islands,2015 - 2019,63553.0,1057.8,-1.4,1.6673249413181246,-0.0348343786676225
Central African Republic,2015 - 2019,5004871.0,-52946.0,27520.2,-1.0627877205247613,0.5856240633472799
Chad,2015 - 2019,15109963.8,5347.8,-6062.2,0.030833084979261433,-0.04217579876437606
Channel Islands,2015 - 2019,165559.0,1584.8,204.6,0.9555151343080709,0.11738662054129256
Chile,2015 - 2019,18412703.0,172890.2,35490.6,0.9316580269763752,0.18217174267667938
China,2015 - 2019,1394874000.0,-217661.6,-20835.4,-0.0155737633806847,-0.00140631197008146
Colombia,2015 - 2019,48512344.2,268939.8,92663.8,0.5464480064144983,0.18665844494723666
Comoros,2015 - 2019,761082.2,-2248.6,-269.6,-0.2930786851321129,-0.029844105225795066
